city,Year,Month,Hs,Hmax,SST
Brisbane,2019,1,1.26,2.13,26.24
Brisbane,2019,2,2.46,4.15,26.82
Brisbane,2019,3,1.5,2.56,26.55
Brisbane,2019,4,1.96,3.35,25.84
Brisbane,2019,5,1.43,2.44,24.27
Brisbane,2019,6,1.68,2.87,22.86
Brisbane,2019,7,1.72,2.94,22.03
Brisbane,2019,8,1.52,2.63,21.23
Brisbane,2019,9,1.5,2.61,20.59
Brisbane,2019,10,1.6,2.74,22.29
Brisbane,2019,11,1.51,2.58,23.68
Brisbane,2019,12,1.44,2.48,25.04
Brisbane,2020,1,1.37,2.35,26.72
Brisbane,2020,2,1.94,3.33,27.54
Brisbane,2020,3,2.16,3.69,27.13
Brisbane,2020,4,1.35,2.31,25.85
Brisbane,2020,5,2.07,3.49,24.22
Brisbane,2020,6,1.66,2.87,22.63
Brisbane,2020,7,1.76,3.0,21.74
Brisbane,2020,8,1.62,2.76,21.5
Brisbane,2020,9,1.52,2.63,21.65
Brisbane,2020,10,1.5,2.59,23.08
Brisbane,2020,11,1.72,2.99,24.34
Brisbane,2020,12,1.75,3.05,25.73
Brisbane,2021,1,1.91,3.27,26.79
Brisbane,2021,2,2.05,3.48,26.6
Brisbane,2021,3,1.84,3.14,26.79
Brisbane,2021,4,1.74,3.01,25.4
Brisbane,2021,5,1.87,3.18,23.48
Brisbane,2021,6,1.46,2.49,22.53
Brisbane,2021,7,1.75,2.96,21.58
Brisbane,2021,8,1.46,2.48,21.72
Brisbane,2021,9,1.74,2.95,21.76
Brisbane,2021,10,1.33,2.23,20.09
Brisbane,2021,11,1.37,2.35,23.61
Brisbane,2021,12,1.51,2.6,25.98
Brisbane,2022,1,2.18,3.66,26.47
Brisbane,2022,2,2.27,3.84,26.41
Brisbane,2022,3,2.15,3.62,26.11
Brisbane,2022,4,2.15,3.63,25.63
Brisbane,2022,5,2.19,3.69,24.18
Brisbane,2022,6,1.56,2.66,22.64
Brisbane,2022,7,2.03,3.37,21.93
Brisbane,2022,8,1.55,2.62,20.83
Brisbane,2022,9,1.47,2.53,21.41
Brisbane,2022,10,1.8,3.08,22.61
Brisbane,2022,11,1.48,2.52,23.28
Brisbane,2022,12,1.83,3.1,16.06
Gladstone,2019,1,0.96,1.65,27.07
Gladstone,2019,2,1.11,1.89,27.66
Gladstone,2019,3,0.67,1.17,27.33
Gladstone,2019,4,1.01,1.73,25.29
Gladstone,2019,5,0.76,1.31,23.15
Gladstone,2019,6,0.63,1.1,20.79
Gladstone,2019,7,0.64,1.1,19.8
Gladstone,2019,8,0.56,0.97,19.95
Gladstone,2019,9,0.55,0.94,18.05
Gladstone,2019,10,0.78,1.35,17.54
Gladstone,2019,11,0.65,1.14,19.29
Gladstone,2019,12,0.81,1.42,21.15
Gladstone,2020,1,0.66,1.15,21.51
Gladstone,2020,2,0.65,1.13,22.68
Gladstone,2020,3,0.93,1.6,19.98
Gladstone,2020,4,0.63,1.09,18.98
Gladstone,2020,5,0.69,1.19,15.85
Gladstone,2020,6,0.69,1.18,13.97
Gladstone,2020,7,0.54,0.94,12.64
Gladstone,2020,8,0.54,0.95,12.9
Gladstone,2020,9,0.75,1.3,19.46
Gladstone,2020,10,0.7,1.22,24.01
Gladstone,2020,11,0.72,1.26,25.95
Gladstone,2020,12,0.83,1.43,27.5
Gladstone,2021,1,0.9,1.55,27.09
Gladstone,2021,2,0.75,1.3,27.43
Gladstone,2021,3,0.75,1.29,27.55
Gladstone,2021,4,0.72,1.25,25.17
Gladstone,2021,5,0.73,1.26,22.71
Gladstone,2021,6,0.53,0.92,20.31
Gladstone,2021,7,0.52,0.9,19.82
Gladstone,2021,8,0.57,0.98,20.41
Gladstone,2021,9,0.64,1.11,21.67
Gladstone,2021,10,0.54,0.94,24.57
Gladstone,2021,11,0.69,1.2,25.96
Gladstone,2021,12,0.66,1.14,27.92
Gladstone,2022,1,0.81,1.39,27.84
Gladstone,2022,2,0.87,1.51,27.04
Gladstone,2022,3,0.74,1.28,27.65
Gladstone,2022,4,0.99,1.7,25.4
Gladstone,2022,5,0.9,1.55,23.53
Gladstone,2022,6,0.48,0.83,20.67
Gladstone,2022,7,0.58,1.0,18.51
Gladstone,2022,8,0.56,0.97,19.11
Gladstone,2022,9,0.46,0.81,21.19
Gladstone,2022,10,0.69,1.19,23.29
Gladstone,2022,11,0.64,1.12,24.88
Gladstone,2022,12,0.81,1.39,25.82
Mackay,2019,1,1.22,2.16,27.37
Mackay,2019,2,1.32,2.33,27.66
Mackay,2019,3,0.78,1.4,27.8
Mackay,2019,4,1.54,2.72,26.74
Mackay,2019,5,1.23,2.19,24.64
Mackay,2019,6,1.16,2.03,22.48
Mackay,2019,7,0.93,1.65,21.56
Mackay,2019,8,0.86,1.54,21.19
Mackay,2019,9,0.62,1.12,22.31
Mackay,2019,10,0.78,1.4,24.25
Mackay,2019,11,0.55,0.98,26.01
Mackay,2019,12,0.78,1.39,27.65
Mackay,2020,1,0.68,1.22,28.45
Mackay,2020,2,0.61,1.1,29.72
Mackay,2020,3,1.42,2.48,28.52
Mackay,2020,4,0.87,1.55,27.28
Mackay,2020,5,1.15,2.04,24.81
Mackay,2020,6,1.12,1.98,22.77
Mackay,2020,7,0.96,1.7,21.25
Mackay,2020,8,0.78,1.39,21.7
Mackay,2020,9,1.02,1.82,22.7
Mackay,2020,10,0.79,1.41,24.43
Mackay,2020,11,0.82,1.44,26.39
Mackay,2020,12,0.85,1.52,27.73
Mackay,2021,1,1.19,2.1,27.74
Mackay,2021,2,0.88,1.56,28.33
Mackay,2021,3,1.35,2.12,28.39
Mackay,2021,4,1.01,1.68,26.92
Mackay,2021,5,1.19,2.1,24.84
Mackay,2021,6,0.88,1.57,22.55
Mackay,2021,7,0.69,1.22,21.79
Mackay,2021,8,0.88,1.56,22.51
Mackay,2021,9,0.92,1.62,22.78
Mackay,2021,10,0.74,1.25,24.95
Mackay,2021,11,0.78,1.44,26.98
Mackay,2021,12,0.87,1.55,28.44
Mackay,2022,1,1.01,1.79,28.87
Mackay,2022,2,1.21,2.14,28.4
Mackay,2022,3,0.97,1.71,28.68
Mackay,2022,4,1.45,2.51,27.18
Mackay,2022,5,1.16,2.02,25.4
Mackay,2022,6,1.01,1.79,23.2
Mackay,2022,7,1.07,1.88,20.57
Mackay,2022,8,0.82,1.44,20.65
Mackay,2022,9,0.56,0.97,22.22
Mackay,2022,10,0.81,1.41,24.95
Mackay,2022,11,0.85,1.5,26.9
Mackay,2022,12,1.1,1.93,27.68
Townsville,2019,1,0.9,1.57,28.09
Townsville,2019,2,0.77,1.34,28.42
Townsville,2019,3,0.57,1.01,28.73
Townsville,2019,4,0.89,1.56,27.03
Townsville,2019,5,0.82,1.42,24.88
Townsville,2019,6,0.69,1.22,22.61
Townsville,2019,7,0.62,1.09,21.8
Townsville,2019,8,0.63,1.11,22.09
Townsville,2019,9,0.53,0.94,23.45
Townsville,2019,10,0.66,1.16,25.69
Townsville,2019,11,0.46,0.81,27.63
Townsville,2019,12,0.61,1.08,28.28
Townsville,2020,1,0.57,1.01,29.45
Townsville,2020,2,0.44,0.77,30.65
Townsville,2020,3,0.71,1.25,29.03
Townsville,2020,4,0.59,1.04,27.85
Townsville,2020,5,0.72,1.25,24.8
Townsville,2020,6,0.73,1.27,23.21
Townsville,2020,7,0.62,1.07,22.04
Townsville,2020,8,0.58,1.02,22.7
Townsville,2020,9,0.8,1.39,23.65
Townsville,2020,10,0.61,1.08,25.66
Townsville,2020,11,0.67,1.18,27.74
Townsville,2020,12,0.56,0.99,29.17
Townsville,2021,1,0.66,1.16,28.27
Townsville,2021,2,0.53,0.93,29.02
Townsville,2021,3,0.61,1.08,28.63
Townsville,2021,4,0.78,1.38,27.13
Townsville,2021,5,0.7,1.21,24.88
Townsville,2021,6,0.57,1.0,23.09
Townsville,2021,7,0.52,0.91,22.86
Townsville,2021,8,0.74,1.29,23.22
Townsville,2021,9,0.62,1.06,23.82
Townsville,2021,10,0.45,0.8,26.76
Townsville,2021,11,0.67,1.19,13.61
Townsville,2021,12,0.53,0.94,16.32
Townsville,2022,1,0.66,1.16,38.77
Townsville,2022,2,0.63,1.11,42.47
Townsville,2022,3,0.75,1.32,29.39
Townsville,2022,4,0.93,1.62,27.65
Townsville,2022,5,0.58,1.03,25.77
Townsville,2022,6,0.7,1.24,23.68
Townsville,2022,7,0.6,1.06,20.93
Townsville,2022,8,0.67,1.18,21.84
Townsville,2022,9,0.55,0.95,24.15
Townsville,2022,10,0.66,1.16,26.75
Townsville,2022,11,0.62,1.09,27.98
Townsville,2022,12,0.72,1.27,28.69
